model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_4,linear,RAVEN,center_single,Size,0.4715,"[0.1818, 0.4904, 0.7346, 0.4897]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Size_1,0.3675,"[0.0, 0.531, 0.7817, 0.1808]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Type_1,0.35,"[0.8513, 0.1492, 0.0274]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Type_0,0.48,"[0.4138, 0.5295, 0.4936]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Size_0,0.4305,"[0.2204, 0.0, 0.875]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Color_1,0.36,"[0.0561, 0.4571, 0.499, 0.4274]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_4,MLP,RAVEN,center_single,Color,0.5045,"[0.3436, 0.3361, 0.8722, 0.4847]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,center_single,Type,0.539,"[0.3839, 0.7915, 0.4471]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,center_single,Size,0.6035,"[0.5731, 0.6398, 0.7449, 0.4547]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.393,"[0.0, 0.6023, 0.7227, 0.2577]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.3235,"[0.3601, 0.2085, 0.4003]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.6065,"[0.4984, 0.8381, 0.4864]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.51,"[0.5705, 0.4289, 0.4923]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.402,"[0.0922, 0.459, 0.8604, 0.2004]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_12,linear,RAVEN,center_single,Color,0.6695,"[0.7891, 0.7269, 0.6412, 0.5072]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,center_single,Type,0.805,"[0.8527, 0.7428, 0.8182]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,center_single,Size,0.562,"[0.5652, 0.5038, 0.7757, 0.4074]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Size_1,0.427,"[0.1595, 0.4953, 0.7511, 0.3231]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_12,linear,RAVEN,in_center_single_out_center_single,Type_1,0.5535,"[0.602, 0.4566, 0.5997]","['Constant', 'Progression', 'Distribute_Three']"
